antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Mocha,Cappuccino,0.293925915596259,0.29411810133726857,0.06102459933355016,0.20761898184362365,0.7059034479674701,1.0,-0.0254243328954398,0.8908364568160637,-0.3710919384284897,0.1157919372524326,-0.12254049814496515,0.20755114955500925
Cappuccino,Mocha,0.29411810133726857,0.293925915596259,0.06102459933355016,0.20748331726639482,0.7059034479674701,1.0,-0.0254243328954398,0.8909264622270155,-0.37115547355841627,0.1157919372524326,-0.1224270940390943,0.20755114955500925
Latte,Flat White,0.29421518713066025,0.2938294917514586,0.061016655950454475,0.20738785290290648,0.7058102019191781,1.0,-0.025432442949707708,0.8909408098713341,-0.3712924098499352,0.11577497456594643,-0.12240901855692962,0.2075239667696433
Flat White,Latte,0.2938294917514586,0.29421518713066025,0.061016655950454475,0.20766008063638008,0.7058102019191781,1.0,-0.025432442949707708,0.8907601341558076,-0.3711648870866776,0.11577497456594643,-0.12263668035359652,0.2075239667696433
Espresso,Americano,0.29427410055528663,0.2944956326838441,0.06115323800979419,0.2078104661416,0.7056487196354964,1.0,-0.025509199415704106,0.8905752186348139,-0.37149342991586426,0.11590471215880582,-0.12286978019995458,0.20773230421016264
Americano,Espresso,0.2944956326838441,0.29427410055528663,0.06115323800979419,0.2076541422787253,0.7056487196354964,1.0,-0.025509199415704106,0.8906791050493105,-0.3715667372312414,0.11590471215880582,-0.12273881168980273,0.20773230421016264
Matcha Latte,Mocha,0.2935355865769182,0.293925915596259,0.06086860011553209,0.20736361415443594,0.7054961919018862,1.0,-0.025409115929173554,0.8907919154512688,-0.3714206578895461,0.11558948075010117,-0.12259662739912404,0.20722592633606907
Mocha,Matcha Latte,0.293925915596259,0.2935355865769182,0.06086860011553209,0.2070882385177022,0.7054961919018862,1.0,-0.025409115929173554,0.8909748193196072,-0.371549695872143,0.11558948075010117,-0.12236617502125348,0.20722592633606907
Espresso,Mocha,0.29427410055528663,0.293925915596259,0.06098311722182824,0.2072323629798031,0.7050496468112072,1.0,-0.025511667220149983,0.8906444353072812,-0.3721667002433158,0.11566988339263726,-0.1227825160721854,0.20735510682099678
Mocha,Espresso,0.293925915596259,0.29427410055528663,0.06098311722182824,0.2074778506621905,0.7050496468112071,1.0,-0.025511667220149983,0.8904809790292693,-0.37205145545223434,0.11566988339263726,-0.12298861351324938,0.20735510682099678
Hot Chocolate,Matcha Latte,0.2943473561993913,0.2935355865769182,0.060916260414106214,0.20695365231288662,0.7050376914304951,1.0,-0.025485163445247185,0.8908236138826637,-0.3722043894299318,0.11559793522626592,-0.12255668172231073,0.20723981640318753
Matcha Latte,Hot Chocolate,0.2935355865769182,0.2943473561993913,0.060916260414106214,0.20752598049348844,0.705037691430495,1.0,-0.025485163445247185,0.8904426220054911,-0.37193577579639603,0.11559793522626592,-0.1230369877710475,0.20723981640318753
Hot Chocolate,Flat White,0.2943473561993913,0.2938294917514586,0.060968333703289045,0.20713056332664667,0.7049345594684283,1.0,-0.025519600367163643,0.8906516957084699,-0.3723202665121051,0.11564368187472063,-0.12277336339044291,0.20731309359988057
Flat White,Hot Chocolate,0.2938294917514586,0.2943473561993913,0.060968333703289045,0.20749562387311446,0.7049345594684283,1.0,-0.025519600367163643,0.8904085138927091,-0.37214883924594105,0.11564368187472063,-0.12308000698261098,0.20731309359988057
Espresso,Cappuccino,0.29427410055528663,0.29411810133726857,0.06101224295984576,0.2073313378401886,0.7049254598663391,1.0,-0.0255390967682076,0.8905131896338515,-0.37230623074501684,0.1156893467914858,-0.1229479940787467,0.20738632175043867
Cappuccino,Espresso,0.29411810133726857,0.29427410055528663,0.06101224295984576,0.20744130566068875,0.7049254598663391,1.0,-0.0255390967682076,0.8904399188163811,-0.3722545802803169,0.1156893467914858,-0.12304039707614611,0.20738632175043867
