antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Mocha,Matcha Latte,0.2940020010612022,0.294130624951049,0.06112900005405292,0.20792035371666648,0.7068980108795874,1.0,-0.02534599225493747,0.8911595928024334,-0.3699985837974042,0.11599350942397813,-0.1221334630481794,0.20787489173072432
Matcha Latte,Mocha,0.294130624951049,0.2940020010612022,0.06112900005405292,0.20782942974478216,0.7068980108795873,1.0,-0.02534599225493747,0.8912196759737522,-0.3700410564716969,0.11599350942397813,-0.12205781241015992,0.20787489173072432
Cappuccino,Hot Chocolate,0.2942407164107978,0.29381314677353704,0.061107158261437436,0.2076774384144851,0.7068350776507529,1.0,-0.02534463253611899,0.8912870685056778,-0.3701482239876835,0.11596458937982847,-0.12197297070245737,0.20782854902336226
Hot Chocolate,Cappuccino,0.29381314677353704,0.2942407164107978,0.061107158261437436,0.2079796596322394,0.7068350776507528,1.0,-0.02534463253611899,0.8910873213956795,-0.3700070357236774,0.11596458937982847,-0.12222447339250013,0.20782854902336226
Americano,Latte,0.29444038128268685,0.29411496063513287,0.06116452054507407,0.20773142691440522,0.7062933026793847,1.0,-0.02543480060527689,0.8909668556152676,-0.3708236553978251,0.11597570163596879,-0.12237620703571336,0.2078463481263657
Latte,Americano,0.29411496063513287,0.29444038128268685,0.06116452054507407,0.20796126933832618,0.7062933026793847,1.0,-0.02543480060527689,0.8908145415160248,-0.3707160769696263,0.11597570163596879,-0.12256811423190173,0.2078463481263657
Cappuccino,Latte,0.2942407164107978,0.29411496063513287,0.06110517264392693,0.20767069013866957,0.7060867957556822,1.0,-0.025435424080488163,0.8908985576822945,-0.37098986802960326,0.1158940050957962,-0.1224622504738776,0.20771508738501307
Latte,Cappuccino,0.29411496063513287,0.2942407164107978,0.06110517264392693,0.20775948463135657,0.7060867957556821,1.0,-0.025435424080488163,0.8908396754498222,-0.37094829206274993,0.1158940050957962,-0.12253644236832871,0.20771508738501307
Espresso,Hot Chocolate,0.2939772911544049,0.29381314677353704,0.060980740613269,0.20743350744476466,0.706004852821132,1.0,-0.025393652380767004,0.8910127539579874,-0.37099491756020314,0.11575477999761287,-0.12231839057059278,0.20749145080949266
Hot Chocolate,Espresso,0.29381314677353704,0.2939772911544049,0.060980740613269,0.2075493941742207,0.7060048528211319,1.0,-0.025393652380767004,0.8909359191035996,-0.3709406717801397,0.11575477999761287,-0.12241517998974977,0.20749145080949266
Mocha,Cappuccino,0.2940020010612022,0.2942407164107978,0.06107207901875195,0.2077267460708154,0.7059755312069123,1.0,-0.025435280399704323,0.8908028638971128,-0.37103605059251277,0.11584878702262573,-0.12258283008337892,0.20764248247294642
Cappuccino,Mocha,0.2942407164107978,0.2940020010612022,0.06107207901875195,0.20755821887507742,0.7059755312069123,1.0,-0.025435280399704323,0.8909146586599558,-0.371114974959597,0.11584878702262573,-0.12244196487250741,0.20764248247294642
Flat White,Hot Chocolate,0.29398788111446095,0.29381314677353704,0.06094191075973035,0.20729395554915167,0.7055298846410303,1.0,-0.02543559370379392,0.8908558956626577,-0.37153232277796533,0.11567022146623232,-0.12251600384387222,0.2073555956988491
Hot Chocolate,Flat White,0.29381314677353704,0.29398788111446095,0.06094191075973035,0.20741723584854654,0.7055298846410303,1.0,-0.02543559370379392,0.890773999660972,-0.3714745427013435,0.11567022146623232,-0.12261920574758507,0.2073555956988491
Flat White,Espresso,0.29398788111446095,0.2939772911544049,0.060949411981436684,0.2073194709604601,0.7052227406625441,1.0,-0.025476348940815775,0.8906774961421788,-0.37187747878708455,0.11565007457878579,-0.12274083978918672,0.20732320510078722
Espresso,Flat White,0.2939772911544049,0.29398788111446095,0.060949411981436684,0.20732693924111434,0.7052227406625441,1.0,-0.025476348940815775,0.8906725279771971,-0.37187397512416004,0.11565007457878579,-0.1227471024295496,0.20732320510078722
Mocha,Americano,0.2940020010612022,0.29444038128268685,0.06101912921847198,0.20754664593513997,0.7048851282931814,1.0,-0.025546932071861303,0.8903484540738851,-0.37226145682588563,0.1156929067061101,-0.12315576606483965,0.20739214208580878
Americano,Mocha,0.29444038128268685,0.2940020010612022,0.06101912921847198,0.2072376382364776,0.7048851282931814,1.0,-0.025546932071861303,0.8905543867752312,-0.37240661572449385,0.1156929067061101,-0.1228960463841855,0.20739214208580878
Flat White,Mocha,0.29398788111446095,0.2940020010612022,0.0609196277187792,0.20721815976850017,0.70481887545168,1.0,-0.025513397616615134,0.8905325060582109,-0.3723312065524889,0.11558160834090975,-0.12292363636037056,0.20721318376600834
Mocha,Flat White,0.2940020010612022,0.29398788111446095,0.0609196277187792,0.20720820776351653,0.7048188754516799,1.0,-0.025513397616615134,0.8905391375128431,-0.3723358805268853,0.11558160834090975,-0.12291527444023014,0.20721318376600834
Matcha Latte,Hot Chocolate,0.294130624951049,0.29381314677353704,0.060902419033688204,0.20705908826673167,0.7047305082856862,1.0,-0.025517025445646532,0.8905920261861985,-0.372477727190419,0.11555529508783458,-0.12284858902490034,0.2071709565454355
Hot Chocolate,Matcha Latte,0.29381314677353704,0.294130624951049,0.060902419033688204,0.2072828248241393,0.7047305082856861,1.0,-0.025517025445646532,0.8904428933211357,-0.3723726287106212,0.11555529508783458,-0.12303664558458421,0.2071709565454355
Latte,Espresso,0.29411496063513287,0.2939772911544049,0.0609163183562617,0.20711737418836038,0.7045352835759572,1.0,-0.025546801059239094,0.8904504725688372,-0.37269181503535087,0.1155521610395589,-0.12302708663304557,0.20716587069168257
Espresso,Latte,0.2939772911544049,0.29411496063513287,0.0609163183562617,0.2072143671950048,0.7045352835759571,1.0,-0.025546801059239094,0.8903857614918416,-0.37264622379836915,0.1155521610395589,-0.12310870551714548,0.20716587069168257
Americano,Flat White,0.29444038128268685,0.29398788111446095,0.0609721362707235,0.20707803734361171,0.7043761006699054,1.0,-0.025589767537107587,0.8903929417219189,-0.37297841752767297,0.11559660273262101,-0.12309964864064796,0.20723740249563544
Flat White,Americano,0.29398788111446095,0.29444038128268685,0.0609721362707235,0.20739676764765916,0.7043761006699054,1.0,-0.025589767537107587,0.8901800925329388,-0.37282849164590837,0.11559660273262101,-0.1233681907607899,0.20723740249563544
Americano,Cappuccino,0.29444038128268685,0.2942407164107978,0.06101581985595448,0.20722639873697998,0.7042750618091391,1.0,-0.02562052887293175,0.8902406468439544,-0.3730918909566595,0.11563357002759134,-0.12329177907699448,0.20729670823197538
Cappuccino,Americano,0.2942407164107978,0.29444038128268685,0.06101581985595448,0.20736701772697075,0.704275061809139,1.0,-0.02562052887293175,0.8901466813732426,-0.37302571341896595,0.11563357002759134,-0.12341035575989019,0.20729670823197538
Flat White,Latte,0.29398788111446095,0.29411496063513287,0.06086601604599572,0.20703579962297225,0.7039281482855695,1.0,-0.025600218035190074,0.8901852555629152,-0.37333142563859667,0.11544340812076236,-0.12336167528144763,0.20699107219713644
Latte,Flat White,0.29411496063513287,0.29398788111446095,0.06086601604599572,0.20694634477130064,0.7039281482855695,1.0,-0.025600218035190074,0.8902450852230681,-0.3733735414204806,0.11544340812076236,-0.1232861788272954,0.20699107219713644
Americano,Matcha Latte,0.29444038128268685,0.294130624951049,0.060938822021380686,0.20696489304866927,0.7036495879445183,1.0,-0.025665111336121156,0.8900859102726594,-0.3737941505974347,0.11549489179161736,-0.12348705721414098,0.20707387300622937
Matcha Latte,Americano,0.294130624951049,0.29444038128268685,0.060938822021380686,0.20718285296378944,0.7036495879445183,1.0,-0.025665111336121156,0.8899399077768534,-0.37369141600142186,0.11549489179161736,-0.12367137518092242,0.20707387300622937
Latte,Hot Chocolate,0.29411496063513287,0.29381314677353704,0.06080335878233109,0.20673330812899818,0.7036217078752519,1.0,-0.025611483315052266,0.8902262763117509,-0.37371751373734285,0.11534908755618409,-0.12330991188335494,0.20683948952137643
Hot Chocolate,Latte,0.29381314677353704,0.29411496063513287,0.06080335878233109,0.20694567091375465,0.7036217078752518,1.0,-0.025611483315052266,0.8900840881584817,-0.3736174670661,0.11534908755618409,-0.12348935713357853,0.20683948952137643
Matcha Latte,Flat White,0.294130624951049,0.29398788111446095,0.06084108551503057,0.20685056350441614,0.7036023482338074,1.0,-0.025629753685200533,0.8901375786194232,-0.3737444359293511,0.11538723856506555,-0.12342184401536002,0.20690078095372577
Flat White,Matcha Latte,0.29398788111446095,0.294130624951049,0.06084108551503057,0.2069509984030354,0.7036023482338074,1.0,-0.025629753685200533,0.8900703154881227,-0.3736971094322184,0.11538723856506555,-0.12350674165736096,0.20690078095372577
Matcha Latte,Espresso,0.294130624951049,0.2939772911544049,0.06083490803833124,0.20682956101036998,0.7035562515668513,1.0,-0.02563281633033037,0.8901273599466881,-0.3737961711605523,0.11537648828514822,-0.12343474091156162,0.2068835004859727
Espresso,Matcha Latte,0.2939772911544049,0.294130624951049,0.06083490803833124,0.2069374399615754,0.7035562515668512,1.0,-0.02563281633033037,0.8900550985722375,-0.37374533121881076,0.11537648828514822,-0.12352594980257771,0.2068835004859727
Matcha Latte,Latte,0.294130624951049,0.29411496063513287,0.06086160356263906,0.20692032178821235,0.7035355200611823,1.0,-0.025646613616425756,0.8900556384907953,-0.3738194379762815,0.11540282912862937,-0.1235252682580941,0.20692583198953457
Latte,Matcha Latte,0.29411496063513287,0.294130624951049,0.06086160356263906,0.20693134219085682,0.7035355200611823,1.0,-0.025646613616425756,0.8900482550891865,-0.3738142434909908,0.11540282912862937,-0.1235345884699206,0.20692583198953457
Espresso,Mocha,0.2939772911544049,0.2940020010612022,0.06076099894210712,0.20668602905859754,0.7030089193698101,1.0,-0.025668912923839583,0.8899351641330742,-0.37435944456292597,0.11524827517808968,-0.1236773647147037,0.20667734341615987
